,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
50,Big Tasty Bacon ,810 kcal,"48,00g","18,000g","49,00g","9,80g","3,4g","44,00g","3,30g",Plat
51,Macaron Framboise ,85 kcal,"2,80g","0,200g","13,00g","8,40g","0,8g","1,60g","0,00g",Dessert
52,McFlurry Kit Kat Ball,315 kcal,"10,00g","7,000g","49,00g","42,00g",,"7,00g",-,Dessert
53,McFlurry M&M's,340 kcal,"12,00g",-,"49,00g",-,"1,0g","8,00g","0,00g",Dessert
54,Sundae Chocolat,330 kcal,"13,00g",-,"49,00g",-,"1,0g","7,00g","0,75g",Dessert
55,McCrispy,495 kcal,"19,00g","2,300g","56,00g","7,00g","2,0g","24,00g","2,30g",Plat
56,Double Filet-O-Fish,469 kcal,"20,00g","4,000g","47,00g","4,50g","2,4g","24,00g","2,40g",Plat
57,McFirst Poisson,406 kcal,"17,00g","5,900g","44,00g","8,30g","2,6g","18,00g","0,00g",Plat
58,Coca-Cola (Petit),110 kcal,"0,00g",-,"28,00g",-,,"0,00g",-,Boisson
59,Chicken McNuggets (4),175 kcal,"9,00g","1,000g","12,00g",-,"1,0g","11,00g","0,00g",Plat
60,P'tite Pomme,41 kcal,"0,10g","0,000g","9,00g","9,00g","1,6g","0,20g","0,20g",Dessert
61,Burger Bacon & Cheddar Fondu ,641 kcal,"37,00g","15,000g","44,00g","10,00g","2,0g","32,00g","0,01g",Plat
62,Wrap Poulet Bacon New York ,566 kcal,"28,00g","5,700g","54,00g","5,40g","3,4g","23,00g","2,80g",Plat
63,Deluxe Potatoes (Grande),194 kcal,"8,80g","0,900g","25,00g","0,30g","2,8g","3,50g","1,10g",Accompagnement
64,Fanta Orange (Moyenne),155 kcal,"0,00g","0,000g","38,00g","38,00g","0,0g","0,00g","0,00g",Boisson
65,Double Royal Cheese,758 kcal,"44,00g","21,000g","37,00g","10,00g","3,0g","52,00g","3,10g",Plat
66,Trio Mini Viennoiseries,257 kcal,"13,00g",-,"30,00g",-,,"5,00g",-,Dessert
67,Donuts,281 kcal,"15,00g","8,200g","33,00g","17,00g","1,2g","2,70g","0,00g",Dessert
